image_id,category,question,question_type,ground_truth
355257,keyboard,Is there a keyboard in this image?,absent_random,no
355257,chair,Is there a chair in this image?,absent_adversarial,no
232692,person,Is there a person in this image?,present,yes
232692,bus,Is there a bus in this image?,absent_random,no
232692,chair,Is there a chair in this image?,absent_adversarial,no
155451,car,Is there a car in this image?,present,yes
155451,keyboard,Is there a keyboard in this image?,absent_random,no
155451,person,Is there a person in this image?,absent_adversarial,no
125211,zebra,Is there a zebra in this image?,present,yes
125211,cow,Is there a cow in this image?,absent_random,no
125211,giraffe,Is there a giraffe in this image?,absent_adversarial,no
98287,baseball bat,Is there a baseball bat in this image?,present,yes
98287,cup,Is there a cup in this image?,absent_random,no
98287,chair,Is there a chair in this image?,absent_adversarial,no
524280,cat,Is there a cat in this image?,present,yes
524280,wine glass,Is there a wine glass in this image?,absent_random,no
524280,bed,Is there a bed in this image?,absent_adversarial,no
472623,bicycle,Is there a bicycle in this image?,present,yes
472623,bed,Is there a bed in this image?,absent_random,no
472623,chair,Is there a chair in this image?,absent_adversarial,no
179285,sports ball,Is there a sports ball in this image?,present,yes
179285,bear,Is there a bear in this image?,absent_random,no
179285,person,Is there a person in this image?,absent_adversarial,no
117719,person,Is there a person in this image?,present,yes
117719,traffic light,Is there a traffic light in this image?,absent_random,no
117719,chair,Is there a chair in this image?,absent_adversarial,no
120584,clock,Is there a clock in this image?,present,yes
120584,microwave,Is there a microwave in this image?,absent_random,no
120584,person,Is there a person in this image?,absent_adversarial,no
492110,laptop,Is there a laptop in this image?,present,yes
492110,parking meter,Is there a parking meter in this image?,absent_random,no
492110,car,Is there a car in this image?,absent_adversarial,no
367228,kite,Is there a kite in this image?,present,yes
367228,giraffe,Is there a giraffe in this image?,absent_random,no
367228,chair,Is there a chair in this image?,absent_adversarial,no
443969,person,Is there a person in this image?,present,yes
443969,hot dog,Is there a hot dog in this image?,absent_random,no
443969,chair,Is there a chair in this image?,absent_adversarial,no
520832,umbrella,Is there a umbrella in this image?,present,yes
520832,sink,Is there a sink in this image?,absent_random,no
520832,chair,Is there a chair in this image?,absent_adversarial,no
356261,horse,Is there a horse in this image?,present,yes
356261,teddy bear,Is there a teddy bear in this image?,absent_random,no
356261,person,Is there a person in this image?,absent_adversarial,no
365207,bench,Is there a bench in this image?,present,yes
365207,bird,Is there a bird in this image?,absent_random,no
365207,person,Is there a person in this image?,absent_adversarial,no
392481,airplane,Is there a airplane in this image?,present,yes
392481,cup,Is there a cup in this image?,absent_random,no
392481,person,Is there a person in this image?,absent_adversarial,no
491366,clock,Is there a clock in this image?,present,yes
491366,tennis racket,Is there a tennis racket in this image?,absent_random,no
491366,chair,Is there a chair in this image?,absent_adversarial,no
478862,airplane,Is there a airplane in this image?,present,yes
478862,cake,Is there a cake in this image?,absent_random,no
478862,chair,Is there a chair in this image?,absent_adversarial,no
297698,person,Is there a person in this image?,present,yes
297698,knife,Is there a knife in this image?,absent_random,no
297698,chair,Is there a chair in this image?,absent_adversarial,no
245448,truck,Is there a truck in this image?,present,yes
245448,microwave,Is there a microwave in this image?,absent_random,no
245448,chair,Is there a chair in this image?,absent_adversarial,no
350002,hair drier,Is there a hair drier in this image?,present,yes
350002,baseball glove,Is there a baseball glove in this image?,absent_random,no
350002,chair,Is there a chair in this image?,absent_adversarial,no
406570,apple,Is there a apple in this image?,present,yes
406570,cell phone,Is there a cell phone in this image?,absent_random,no
406570,bowl,Is there a bowl in this image?,absent_adversarial,no
295138,bench,Is there a bench in this image?,present,yes
295138,tie,Is there a tie in this image?,absent_random,no
295138,chair,Is there a chair in this image?,absent_adversarial,no
297562,car,Is there a car in this image?,present,yes
297562,bus,Is there a bus in this image?,absent_random,no
297562,handbag,Is there a handbag in this image?,absent_adversarial,no
94944,person,Is there a person in this image?,present,yes
94944,motorcycle,Is there a motorcycle in this image?,absent_random,no
94944,chair,Is there a chair in this image?,absent_adversarial,no
357903,pizza,Is there a pizza in this image?,present,yes
357903,book,Is there a book in this image?,absent_random,no
357903,person,Is there a person in this image?,absent_adversarial,no
581062,person,Is there a person in this image?,present,yes
581062,cell phone,Is there a cell phone in this image?,absent_random,no
581062,chair,Is there a chair in this image?,absent_adversarial,no
38829,person,Is there a person in this image?,present,yes
38829,skis,Is there a skis in this image?,absent_random,no
38829,chair,Is there a chair in this image?,absent_adversarial,no
119516,cell phone,Is there a cell phone in this image?,present,yes
119516,car,Is there a car in this image?,absent_random,no
119516,chair,Is there a chair in this image?,absent_adversarial,no
493772,umbrella,Is there a umbrella in this image?,present,yes
493772,toothbrush,Is there a toothbrush in this image?,absent_random,no
493772,chair,Is there a chair in this image?,absent_adversarial,no
99810,person,Is there a person in this image?,present,yes
99810,sandwich,Is there a sandwich in this image?,absent_random,no
99810,car,Is there a car in this image?,absent_adversarial,no
485895,giraffe,Is there a giraffe in this image?,present,yes
485895,pizza,Is there a pizza in this image?,absent_random,no
485895,person,Is there a person in this image?,absent_adversarial,no
400794,bottle,Is there a bottle in this image?,present,yes
400794,giraffe,Is there a giraffe in this image?,absent_random,no
400794,chair,Is there a chair in this image?,absent_adversarial,no
177539,surfboard,Is there a surfboard in this image?,present,yes
177539,toaster,Is there a toaster in this image?,absent_random,no
177539,chair,Is there a chair in this image?,absent_adversarial,no
572900,sandwich,Is there a sandwich in this image?,present,yes
572900,horse,Is there a horse in this image?,absent_random,no
572900,chair,Is there a chair in this image?,absent_adversarial,no
534639,traffic light,Is there a traffic light in this image?,present,yes
534639,laptop,Is there a laptop in this image?,absent_random,no
534639,person,Is there a person in this image?,absent_adversarial,no
523100,bottle,Is there a bottle in this image?,present,yes
523100,zebra,Is there a zebra in this image?,absent_random,no
523100,chair,Is there a chair in this image?,absent_adversarial,no
52413,person,Is there a person in this image?,present,yes
52413,donut,Is there a donut in this image?,absent_random,no
52413,car,Is there a car in this image?,absent_adversarial,no
127494,spoon,Is there a spoon in this image?,present,yes
127494,dog,Is there a dog in this image?,absent_random,no
127494,bowl,Is there a bowl in this image?,absent_adversarial,no
11122,stop sign,Is there a stop sign in this image?,present,yes
11122,bottle,Is there a bottle in this image?,absent_random,no
11122,car,Is there a car in this image?,absent_adversarial,no
491725,boat,Is there a boat in this image?,present,yes
491725,baseball bat,Is there a baseball bat in this image?,absent_random,no
491725,person,Is there a person in this image?,absent_adversarial,no
421060,skis,Is there a skis in this image?,present,yes
421060,vase,Is there a vase in this image?,absent_random,no
421060,chair,Is there a chair in this image?,absent_adversarial,no
544605,traffic light,Is there a traffic light in this image?,present,yes
544605,tennis racket,Is there a tennis racket in this image?,absent_random,no
544605,car,Is there a car in this image?,absent_adversarial,no
261982,skateboard,Is there a skateboard in this image?,present,yes
261982,toothbrush,Is there a toothbrush in this image?,absent_random,no
261982,chair,Is there a chair in this image?,absent_adversarial,no
473121,skis,Is there a skis in this image?,present,yes
473121,teddy bear,Is there a teddy bear in this image?,absent_random,no
473121,chair,Is there a chair in this image?,absent_adversarial,no
449198,traffic light,Is there a traffic light in this image?,present,yes
449198,tv,Is there a tv in this image?,absent_random,no
449198,car,Is there a car in this image?,absent_adversarial,no
320743,person,Is there a person in this image?,present,yes
320743,cake,Is there a cake in this image?,absent_random,no
320743,chair,Is there a chair in this image?,absent_adversarial,no
126216,elephant,Is there a elephant in this image?,present,yes
126216,bear,Is there a bear in this image?,absent_random,no
126216,person,Is there a person in this image?,absent_adversarial,no
217060,airplane,Is there a airplane in this image?,present,yes
217060,tennis racket,Is there a tennis racket in this image?,absent_random,no
217060,person,Is there a person in this image?,absent_adversarial,no
223188,person,Is there a person in this image?,present,yes
223188,bicycle,Is there a bicycle in this image?,absent_random,no
223188,chair,Is there a chair in this image?,absent_adversarial,no
31118,clock,Is there a clock in this image?,present,yes
31118,bear,Is there a bear in this image?,absent_random,no
31118,chair,Is there a chair in this image?,absent_adversarial,no
362434,book,Is there a book in this image?,present,yes
362434,baseball bat,Is there a baseball bat in this image?,absent_random,no
362434,person,Is there a person in this image?,absent_adversarial,no
462728,person,Is there a person in this image?,present,yes
462728,potted plant,Is there a potted plant in this image?,absent_random,no
462728,chair,Is there a chair in this image?,absent_adversarial,no
278848,umbrella,Is there a umbrella in this image?,present,yes
278848,dog,Is there a dog in this image?,absent_random,no
278848,chair,Is there a chair in this image?,absent_adversarial,no
487583,cup,Is there a cup in this image?,present,yes
487583,banana,Is there a banana in this image?,absent_random,no
487583,person,Is there a person in this image?,absent_adversarial,no
351530,chair,Is there a chair in this image?,present,yes
351530,tv,Is there a tv in this image?,absent_random,no
351530,car,Is there a car in this image?,absent_adversarial,no
153299,giraffe,Is there a giraffe in this image?,present,yes
153299,oven,Is there a oven in this image?,absent_random,no
153299,person,Is there a person in this image?,absent_adversarial,no
469828,skis,Is there a skis in this image?,present,yes
469828,tie,Is there a tie in this image?,absent_random,no
469828,chair,Is there a chair in this image?,absent_adversarial,no
140439,potted plant,Is there a potted plant in this image?,present,yes
140439,toothbrush,Is there a toothbrush in this image?,absent_random,no
140439,person,Is there a person in this image?,absent_adversarial,no
66231,banana,Is there a banana in this image?,present,yes
66231,truck,Is there a truck in this image?,absent_random,no
66231,chair,Is there a chair in this image?,absent_adversarial,no
229849,tennis racket,Is there a tennis racket in this image?,present,yes
229849,suitcase,Is there a suitcase in this image?,absent_random,no
229849,car,Is there a car in this image?,absent_adversarial,no
571804,toilet,Is there a toilet in this image?,present,yes
571804,bird,Is there a bird in this image?,absent_random,no
571804,dining table,Is there a dining table in this image?,absent_adversarial,no
172083,sink,Is there a sink in this image?,present,yes
172083,umbrella,Is there a umbrella in this image?,absent_random,no
172083,bottle,Is there a bottle in this image?,absent_adversarial,no
193245,person,Is there a person in this image?,present,yes
193245,bicycle,Is there a bicycle in this image?,absent_random,no
193245,chair,Is there a chair in this image?,absent_adversarial,no
283318,person,Is there a person in this image?,present,yes
283318,dining table,Is there a dining table in this image?,absent_random,no
283318,chair,Is there a chair in this image?,absent_adversarial,no
405972,elephant,Is there a elephant in this image?,present,yes
405972,keyboard,Is there a keyboard in this image?,absent_random,no
405972,person,Is there a person in this image?,absent_adversarial,no
78420,cat,Is there a cat in this image?,present,yes
78420,skateboard,Is there a skateboard in this image?,absent_random,no
78420,person,Is there a person in this image?,absent_adversarial,no
452084,dining table,Is there a dining table in this image?,present,yes
452084,umbrella,Is there a umbrella in this image?,absent_random,no
452084,person,Is there a person in this image?,absent_adversarial,no
334483,cake,Is there a cake in this image?,present,yes
334483,clock,Is there a clock in this image?,absent_random,no
334483,chair,Is there a chair in this image?,absent_adversarial,no
515445,surfboard,Is there a surfboard in this image?,present,yes
515445,banana,Is there a banana in this image?,absent_random,no
515445,chair,Is there a chair in this image?,absent_adversarial,no
166642,elephant,Is there a elephant in this image?,present,yes
166642,toaster,Is there a toaster in this image?,absent_random,no
166642,person,Is there a person in this image?,absent_adversarial,no
363461,laptop,Is there a laptop in this image?,present,yes
363461,toaster,Is there a toaster in this image?,absent_random,no
363461,person,Is there a person in this image?,absent_adversarial,no
287874,suitcase,Is there a suitcase in this image?,present,yes
287874,cow,Is there a cow in this image?,absent_random,no
287874,chair,Is there a chair in this image?,absent_adversarial,no
364636,dog,Is there a dog in this image?,present,yes
364636,fire hydrant,Is there a fire hydrant in this image?,absent_random,no
364636,person,Is there a person in this image?,absent_adversarial,no
444275,microwave,Is there a microwave in this image?,present,yes
444275,sheep,Is there a sheep in this image?,absent_random,no
444275,oven,Is there a oven in this image?,absent_adversarial,no
256916,dining table,Is there a dining table in this image?,present,yes
256916,bottle,Is there a bottle in this image?,absent_random,no
256916,person,Is there a person in this image?,absent_adversarial,no
328030,teddy bear,Is there a teddy bear in this image?,present,yes
328030,couch,Is there a couch in this image?,absent_random,no
328030,person,Is there a person in this image?,absent_adversarial,no
182202,cell phone,Is there a cell phone in this image?,present,yes
182202,umbrella,Is there a umbrella in this image?,absent_random,no
182202,person,Is there a person in this image?,absent_adversarial,no
210394,motorcycle,Is there a motorcycle in this image?,present,yes
210394,elephant,Is there a elephant in this image?,absent_random,no
210394,chair,Is there a chair in this image?,absent_adversarial,no
235784,person,Is there a person in this image?,present,yes
235784,carrot,Is there a carrot in this image?,absent_random,no
235784,chair,Is there a chair in this image?,absent_adversarial,no
39477,book,Is there a book in this image?,present,yes
39477,sink,Is there a sink in this image?,absent_random,no
39477,person,Is there a person in this image?,absent_adversarial,no
123213,person,Is there a person in this image?,present,yes
123213,tie,Is there a tie in this image?,absent_random,no
123213,car,Is there a car in this image?,absent_adversarial,no
386912,chair,Is there a chair in this image?,present,yes
386912,cup,Is there a cup in this image?,absent_random,no
386912,car,Is there a car in this image?,absent_adversarial,no
560256,banana,Is there a banana in this image?,present,yes
560256,knife,Is there a knife in this image?,absent_random,no
560256,person,Is there a person in this image?,absent_adversarial,no
343218,person,Is there a person in this image?,present,yes
343218,cup,Is there a cup in this image?,absent_random,no
343218,chair,Is there a chair in this image?,absent_adversarial,no
319721,horse,Is there a horse in this image?,present,yes
319721,potted plant,Is there a potted plant in this image?,absent_random,no
319721,chair,Is there a chair in this image?,absent_adversarial,no
383621,airplane,Is there a airplane in this image?,present,yes
383621,teddy bear,Is there a teddy bear in this image?,absent_random,no
383621,person,Is there a person in this image?,absent_adversarial,no
270244,zebra,Is there a zebra in this image?,present,yes
270244,knife,Is there a knife in this image?,absent_random,no
270244,giraffe,Is there a giraffe in this image?,absent_adversarial,no
154213,scissors,Is there a scissors in this image?,present,yes
154213,person,Is there a person in this image?,absent_random,no
154213,person,Is there a person in this image?,absent_adversarial,no
416758,cow,Is there a cow in this image?,present,yes
416758,fork,Is there a fork in this image?,absent_random,no
416758,person,Is there a person in this image?,absent_adversarial,no
218439,cell phone,Is there a cell phone in this image?,present,yes
218439,frisbee,Is there a frisbee in this image?,absent_random,no
218439,chair,Is there a chair in this image?,absent_adversarial,no
86755,person,Is there a person in this image?,present,yes
86755,donut,Is there a donut in this image?,absent_random,no
86755,chair,Is there a chair in this image?,absent_adversarial,no
54123,zebra,Is there a zebra in this image?,present,yes
54123,clock,Is there a clock in this image?,absent_random,no
54123,giraffe,Is there a giraffe in this image?,absent_adversarial,no
325306,zebra,Is there a zebra in this image?,present,yes
325306,bus,Is there a bus in this image?,absent_random,no
325306,giraffe,Is there a giraffe in this image?,absent_adversarial,no
374545,bicycle,Is there a bicycle in this image?,present,yes
374545,book,Is there a book in this image?,absent_random,no
374545,chair,Is there a chair in this image?,absent_adversarial,no
209829,person,Is there a person in this image?,present,yes
209829,dog,Is there a dog in this image?,absent_random,no
209829,chair,Is there a chair in this image?,absent_adversarial,no
379453,airplane,Is there a airplane in this image?,present,yes
379453,spoon,Is there a spoon in this image?,absent_random,no
379453,person,Is there a person in this image?,absent_adversarial,no
402118,person,Is there a person in this image?,present,yes
402118,bird,Is there a bird in this image?,absent_random,no
402118,chair,Is there a chair in this image?,absent_adversarial,no
249180,person,Is there a person in this image?,present,yes
249180,donut,Is there a donut in this image?,absent_random,no
249180,chair,Is there a chair in this image?,absent_adversarial,no
338428,bus,Is there a bus in this image?,present,yes
338428,wine glass,Is there a wine glass in this image?,absent_random,no
338428,person,Is there a person in this image?,absent_adversarial,no
328430,person,Is there a person in this image?,present,yes
328430,bicycle,Is there a bicycle in this image?,absent_random,no
328430,car,Is there a car in this image?,absent_adversarial,no
476810,remote,Is there a remote in this image?,present,yes
476810,carrot,Is there a carrot in this image?,absent_random,no
476810,person,Is there a person in this image?,absent_adversarial,no
315492,toilet,Is there a toilet in this image?,present,yes
315492,horse,Is there a horse in this image?,absent_random,no
315492,chair,Is there a chair in this image?,absent_adversarial,no
140420,motorcycle,Is there a motorcycle in this image?,present,yes
140420,umbrella,Is there a umbrella in this image?,absent_random,no
140420,person,Is there a person in this image?,absent_adversarial,no
341196,surfboard,Is there a surfboard in this image?,present,yes
341196,microwave,Is there a microwave in this image?,absent_random,no
341196,chair,Is there a chair in this image?,absent_adversarial,no
480212,dining table,Is there a dining table in this image?,present,yes
480212,stop sign,Is there a stop sign in this image?,absent_random,no
480212,person,Is there a person in this image?,absent_adversarial,no
100283,stop sign,Is there a stop sign in this image?,present,yes
100283,backpack,Is there a backpack in this image?,absent_random,no
100283,person,Is there a person in this image?,absent_adversarial,no
530854,umbrella,Is there a umbrella in this image?,present,yes
530854,bottle,Is there a bottle in this image?,absent_random,no
530854,chair,Is there a chair in this image?,absent_adversarial,no
261706,cat,Is there a cat in this image?,present,yes
261706,bear,Is there a bear in this image?,absent_random,no
261706,person,Is there a person in this image?,absent_adversarial,no
245173,bicycle,Is there a bicycle in this image?,present,yes
245173,couch,Is there a couch in this image?,absent_random,no
245173,person,Is there a person in this image?,absent_adversarial,no
375763,sheep,Is there a sheep in this image?,present,yes
375763,tennis racket,Is there a tennis racket in this image?,absent_random,no
375763,person,Is there a person in this image?,absent_adversarial,no
209972,boat,Is there a boat in this image?,present,yes
209972,laptop,Is there a laptop in this image?,absent_random,no
209972,person,Is there a person in this image?,absent_adversarial,no
93437,cup,Is there a cup in this image?,present,yes
93437,train,Is there a train in this image?,absent_random,no
93437,car,Is there a car in this image?,absent_adversarial,no
39769,couch,Is there a couch in this image?,present,yes
39769,parking meter,Is there a parking meter in this image?,absent_random,no
39769,person,Is there a person in this image?,absent_adversarial,no
481582,person,Is there a person in this image?,present,yes
481582,cell phone,Is there a cell phone in this image?,absent_random,no
481582,chair,Is there a chair in this image?,absent_adversarial,no
68628,skateboard,Is there a skateboard in this image?,present,yes
68628,tie,Is there a tie in this image?,absent_random,no
68628,chair,Is there a chair in this image?,absent_adversarial,no
344100,cup,Is there a cup in this image?,present,yes
344100,horse,Is there a horse in this image?,absent_random,no
344100,person,Is there a person in this image?,absent_adversarial,no
360943,cat,Is there a cat in this image?,present,yes
360943,spoon,Is there a spoon in this image?,absent_random,no
360943,bed,Is there a bed in this image?,absent_adversarial,no
408830,motorcycle,Is there a motorcycle in this image?,present,yes
408830,fork,Is there a fork in this image?,absent_random,no
408830,person,Is there a person in this image?,absent_adversarial,no
481480,person,Is there a person in this image?,present,yes
481480,knife,Is there a knife in this image?,absent_random,no
481480,chair,Is there a chair in this image?,absent_adversarial,no
167572,orange,Is there a orange in this image?,present,yes
167572,airplane,Is there a airplane in this image?,absent_random,no
167572,car,Is there a car in this image?,absent_adversarial,no
458109,person,Is there a person in this image?,present,yes
458109,mouse,Is there a mouse in this image?,absent_random,no
458109,chair,Is there a chair in this image?,absent_adversarial,no
322610,umbrella,Is there a umbrella in this image?,present,yes
322610,orange,Is there a orange in this image?,absent_random,no
322610,chair,Is there a chair in this image?,absent_adversarial,no
340894,cup,Is there a cup in this image?,present,yes
340894,frisbee,Is there a frisbee in this image?,absent_random,no
340894,car,Is there a car in this image?,absent_adversarial,no
515577,skis,Is there a skis in this image?,present,yes
515577,dog,Is there a dog in this image?,absent_random,no
515577,chair,Is there a chair in this image?,absent_adversarial,no
117908,refrigerator,Is there a refrigerator in this image?,present,yes
117908,oven,Is there a oven in this image?,absent_random,no
117908,chair,Is there a chair in this image?,absent_adversarial,no
36936,tv,Is there a tv in this image?,present,yes
36936,traffic light,Is there a traffic light in this image?,absent_random,no
36936,chair,Is there a chair in this image?,absent_adversarial,no
72813,bed,Is there a bed in this image?,present,yes
72813,traffic light,Is there a traffic light in this image?,absent_random,no
72813,chair,Is there a chair in this image?,absent_adversarial,no
454978,motorcycle,Is there a motorcycle in this image?,present,yes
454978,stop sign,Is there a stop sign in this image?,absent_random,no
454978,person,Is there a person in this image?,absent_adversarial,no
313130,refrigerator,Is there a refrigerator in this image?,present,yes
313130,book,Is there a book in this image?,absent_random,no
313130,person,Is there a person in this image?,absent_adversarial,no
157213,elephant,Is there a elephant in this image?,present,yes
157213,toothbrush,Is there a toothbrush in this image?,absent_random,no
157213,person,Is there a person in this image?,absent_adversarial,no
78565,dog,Is there a dog in this image?,present,yes
78565,oven,Is there a oven in this image?,absent_random,no
78565,chair,Is there a chair in this image?,absent_adversarial,no
531135,baseball bat,Is there a baseball bat in this image?,present,yes
531135,toilet,Is there a toilet in this image?,absent_random,no
531135,chair,Is there a chair in this image?,absent_adversarial,no
449996,truck,Is there a truck in this image?,present,yes
449996,couch,Is there a couch in this image?,absent_random,no
449996,person,Is there a person in this image?,absent_adversarial,no
343076,cat,Is there a cat in this image?,present,yes
343076,boat,Is there a boat in this image?,absent_random,no
343076,person,Is there a person in this image?,absent_adversarial,no
223955,frisbee,Is there a frisbee in this image?,present,yes
223955,orange,Is there a orange in this image?,absent_random,no
